subject_tree,object_tree,predicate_tree,sentence,parse_tree,subject,object_,predicate
Acheron  ,"a   modern river in Acarnania ( Epirus ) , which occasion- ally   runs   underground", is ,"the banks of the river were said to be peopled by the shades of the dead .  ===acheron   is   also   the   name   of   a   modern river in acarnania ( epirus ) , which occasion- ally   runs   underground .  ===near   its   mouth there   was   a   famous   oracle   of   the   dead ,   at ephyra , where mortals could obtain advice from   the   gods   of   the   underworld .  ","Acheron | nsubj | PROPN | [ ]
underwater Amphitrite,Aphrodite,had received ,"another of poseidon ’s children , by aethra , was theseus , who on his way to crete dived into the sea to retrieve a ring that minos had thrown overboard to challenge his parentage .===while underwater amphitrite entertained him at her court among the nereides , welcoming him as a son of poseidon and giving him the wreath   of   roses   she   had   received   from aphrodite .  ===see also : nereus ; thetis   amphitr(y)oniades   greek  ","While | mark | ADP | []
underwater | amod | ADJ | []
Amphitrite | nsubj | PROPN | [underwater]
entertained | advcl | VERB | [While, Amphitrite, him, at, ,, welcoming]
him | dobj | PRON | []
at | prep | ADP | [court]
her | poss | ADJ | []
court | pobj | NOUN | [her, among]
among | prep | ADP | [Nereides]
the | det | DET | []
Nereides | pobj | PROPN | [the]
, | punct | PUNCT | []
welcoming | advcl | VERB | [him, as, and, giving]
him | dobj | PRON | []
as | prep | ADP | [son]
a | det | DET | []
son | pobj | NOUN | [a, of]
of | prep | ADP | [Poseidon]
Poseidon | pobj | PROPN | []
and | cc | CCONJ | []
giving | conj | VERB | [him, wreath]
him | dative | PRON | []
the | det | DET | []
wreath | dobj | NOUN | [the,  , of]
  |  | SPACE | []
of | prep | ADP | [ , roses]
  |  | SPACE | []
roses | pobj | NOUN | [ ]
  |  | SPACE | []
she | nsubj | PRON | [ ]
  |  | SPACE | []
had | aux | VERB | [entertained, she,  ]
  |  | SPACE | []
received | ROOT | VERB | [had,  , from, .]
  |  | SPACE | []
from | prep | ADP | [Aphrodite]
Aphrodite | pobj | PROPN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",Amphitrite,Aphrodite,received
Aphrodite,extremely   frightened, was ,"when zeus grew tired of aphrodite ’s mockery   of   the   other   gods   and   goddesses , whom she caused to fall in love with mortals , zeus caused her to fall in love with anchises .===appearing to him on mount ida in the guise of a beautiful mortal maiden , aphrodite lay with anchises ,   but   when   he   discovered   her   true identity   he   was   extremely   frightened .===however ,   aphrodite ,   already   knowing   she was pregnant from their union , reassured him and promised to get nymphs to raise the boy until he reached the age of five , after which he would   be   returned   to anchises ,   who   was   to say that the boy was the son of a nymph .","Appearing | advcl | VERB | [to, on, in]
to | prep | ADP | [him]
him | pobj | PRON | []
on | prep | ADP | [Ida]
Mount | compound | PROPN | []
Ida | pobj | PROPN | [Mount]
in | prep | ADP | [guise]
the | det | DET | []
guise | pobj | NOUN | [the, of]
of | prep | ADP | [maiden]
a | det | DET | []
beautiful | amod | ADJ | []
mortal | amod | ADJ | []
maiden | pobj | NOUN | [a, beautiful, mortal]
, | punct | PUNCT | []
Aphrodite | nsubj | PROPN | []
lay | ccomp | VERB | [Appearing, ,, Aphrodite, with, discovered]
with | prep | ADP | [Anchises]
Anchises | pobj | PROPN | [,, but]
, | punct | PUNCT | [ ]
  |  | SPACE | []
but | cc | CCONJ | [ ]
  |  | SPACE | []
when | advmod | ADV | [ ]
  |  | SPACE | []
he | nsubj | PRON | [ ]
  |  | SPACE | []
discovered | advcl | VERB | [when, he,  , identity]
  |  | SPACE | []
her | poss | PRON | [ ]
  |  | SPACE | []
true | amod | ADJ | []
identity | dobj | NOUN | [her, true,  ]
  |  | SPACE | []
he | nsubj | PRON | [ ]
  |  | SPACE | []
was | ROOT | VERB | [lay, he,  , frightened, .]
  |  | SPACE | []
extremely | advmod | ADV | [ ]
  |  | SPACE | []
frightened | acomp | ADJ | [extremely]
. | punct | PUNCT | []",Aphrodite,frightened,was
"This boy , his son by Aphrodite",Aeneas, was ,"however ,   aphrodite ,   already   knowing   she was pregnant from their union , reassured him and promised to get nymphs to raise the boy until he reached the age of five , after which he would   be   returned   to anchises ,   who   was   to say that the boy was the son of a nymph .===this boy , his son by aphrodite , was aeneas .  ===when anchises was drunk he boasted of his union with the goddess , and as a result zeus struck   him   with   a   thunderbolt   and   left   him lame in one leg and blind .","This | det | DET | []
boy | nsubj | NOUN | [This, ,, son]
, | punct | PUNCT | []
his | poss | ADJ | []
son | appos | NOUN | [his, by]
by | prep | ADP | [Aphrodite]
Aphrodite | pobj | PROPN | []
, | punct | PUNCT | []
was | ROOT | VERB | [boy, ,, Aeneas, .]
Aeneas | attr | PROPN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",boy,Aeneas,was
Andromache (he),sen-, was ,"andromache   31   cave inhabited by a lion from whose paw he removed   a   thorn .  ===later ,   after   being   recap- tured and brought back to rome , he was sen- tenced to face a lion in the arena .===there the lion he faced held out his paw to him , recog- nizing   him   as   his   old   friend   who   had removed   the   thorn ,   and   refused   to   harm androcles .  ","Later | advmod | ADV | []
, | punct | PUNCT | [ ]
  |  | SPACE | []
after | prep | ADP | [ , being]
  |  | SPACE | []
being | pcomp | VERB | [ , recap-, and, brought]
  |  | SPACE | []
recap- | attr | ADV | [tured]
tured | acl | VERB | []
and | cc | CCONJ | []
brought | conj | VERB | [back]
back | advmod | ADV | [to]
to | prep | ADP | [Rome]
Rome | pobj | PROPN | []
, | punct | PUNCT | []
he | nsubj | PRON | []
was | ROOT | VERB | [Later, ,, after, ,, he, sen-, tenced, face, .]
sen- | acomp | ADV | []
tenced | conj | VERB | []
to | aux | PART | []
face | advcl | VERB | [to, lion]
a | det | DET | []
lion | dobj | NOUN | [a, in]
in | prep | ADP | [arena]
the | det | DET | []
arena | pobj | NOUN | [the]
. | punct | PUNCT | []",he,sen-,was
Androcles (he),"freed   by Emperor   Tiberius ,   some  ", was ,"there the lion he faced held out his paw to him , recog- nizing   him   as   his   old   friend   who   had removed   the   thorn ,   and   refused   to   harm androcles .  ===due   to   this   he   was   freed   by emperor   tiberius ,   some   say   along   with   the lion ,   which   he   subsequently   took   around rome on a lead .===his story was told by aulus gellius in the second century a.d.  ","Due | prep | PROPN | [ , to, this]
  |  | SPACE | []
to | prep | ADP | [ ]
  |  | SPACE | []
this | preconj | DET | [ ]
  |  | SPACE | []
he | nsubj | PRON | [ ]
  |  | SPACE | []
was | ROOT | VERB | [Due, he,  , freed, say, .]
  |  | SPACE | []
freed | acomp | VERB | [ , by]
  |  | SPACE | []
by | prep | ADP | [Emperor]
Emperor | pobj | PROPN | [ , Tiberius]
  |  | SPACE | []
Tiberius | appos | PROPN | [,, some]
, | punct | PUNCT | [ ]
  |  | SPACE | []
some | appos | DET | [ ]
  |  | SPACE | []
say | dep | VERB | [ , along]
  |  | SPACE | []
along | prep | ADP | [ , with]
  |  | SPACE | []
with | prep | ADP | [ , lion]
  |  | SPACE | []
the | det | DET | []
lion | pobj | NOUN | [the, ,, took]
, | punct | PUNCT | [ ]
  |  | SPACE | []
which | dobj | ADJ | [ ]
  |  | SPACE | []
he | nsubj | PRON | [ ]
  |  | SPACE | []
subsequently | advmod | ADV | [ ]
  |  | SPACE | []
took | relcl | VERB | [which, he, subsequently,  , around, on]
  |  | SPACE | []
around | prep | ADP | [Rome]
Rome | pobj | PROPN | []
on | prep | ADP | [lead]
a | det | DET | []
lead | pobj | NOUN | [a]
. | punct | PUNCT | []",he,freed,was
The leader of the unruly mob of potential suit- ors   who   besieged   Penelope   while   Odysseus  ,the   Trojan   War, was ,greek  ===the leader of the unruly mob of potential suit- ors   who   besieged   penelope   while   odysseus   was   away   fighting   in   the   trojan   war .  ===when odysseus returned he used the great bow of eurytus to kill antinous .  ,"The | det | DET | []
leader | nsubj | NOUN | [The, of]
of | prep | ADP | [mob]
the | det | DET | []
unruly | amod | ADJ | []
mob | pobj | NOUN | [the, unruly, of]
of | prep | ADP | [ors]
potential | amod | ADJ | []
suit- | compound | NOUN | []
ors | pobj | NOUN | [potential, suit-,  , besieged]
  |  | SPACE | []
who | nsubj | NOUN | [ ]
  |  | SPACE | []
besieged | relcl | VERB | [who,  , Penelope, while, Odysseus]
  |  | SPACE | []
Penelope | oprd | PROPN | [ ]
  |  | SPACE | []
while | prep | ADP | [ ]
  |  | SPACE | []
Odysseus | advcl | PROPN | [ ]
  |  | SPACE | []
was | ROOT | VERB | [leader,  , away, fighting, .]
  |  | SPACE | []
away | advmod | ADV | [ ]
  |  | SPACE | []
fighting | dep | NOUN | [ , in]
  |  | SPACE | []
in | prep | ADP | [ , War]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
Trojan | compound | PROPN | [ ]
  |  | SPACE | []
War | pobj | PROPN | [the, Trojan]
. | punct | PUNCT | [ ]
  |  | SPACE | []",leader,War,was
"Theseus   Aphrodite   Greek   One   of   the   12   elite   Olympian   deities , Aphrodite","the goddess of love ( especially sensual ) , feminine beauty , marriage , and fertil- ity   and  ", was ,"see also===: dioscuri ; theseus   aphrodite   greek   one   of   the   12   elite   olympian   deities , aphrodite was the goddess of love ( especially sensual ) , feminine beauty , marriage , and fertil- ity   and   was   the   patroness   of   prostitutes .===identified by the romans with venus , though venus ’s   origins   were   markedly   different ,   as she was originally the patroness of vegetable gardens .",": | punct | PUNCT | []
Dioscuri | ccomp | PROPN | [:, ;]
; | punct | PUNCT | []
Theseus | nsubj | PROPN | [ , Aphrodite]
  |  | SPACE | []
Aphrodite | appos | PROPN | [ , Greek, ,, Aphrodite]
  |  | SPACE | []
Greek | appos | PROPN | [ , One]
  |  | SPACE | []
One | appos | NUM | [ , of, deities]
  |  | SPACE | []
of | prep | ADP | [ ]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
12 | nummod | NUM | [ ]
  |  | SPACE | []
elite | amod | ADJ | [ ]
  |  | SPACE | []
Olympian | amod | ADJ | [ ]
  |  | SPACE | []
deities | appos | NOUN | [the, 12, elite, Olympian]
, | punct | PUNCT | []
Aphrodite | appos | PROPN | []
was | ROOT | VERB | [Dioscuri, Theseus, goddess, was, .]
the | det | DET | []
goddess | attr | NOUN | [the, of, (, sensual, ), ,, beauty]
of | prep | ADP | [love]
love | pobj | NOUN | []
( | punct | PUNCT | []
especially | advmod | ADV | []
sensual | amod | ADJ | [especially]
) | punct | PUNCT | []
, | punct | PUNCT | []
feminine | amod | ADJ | []
beauty | conj | NOUN | [feminine, ,, marriage]
, | punct | PUNCT | []
marriage | conj | NOUN | [,, and, ity]
, | punct | PUNCT | []
and | cc | CCONJ | []
fertil- | compound | VERB | []
ity | conj | NOUN | [fertil-,  , and]
  |  | SPACE | []
and | cc | CCONJ | [ ]
  |  | SPACE | []
was | ccomp | VERB | [ , patroness]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
patroness | attr | NOUN | [the,  , of]
  |  | SPACE | []
of | prep | ADP | [ , prostitutes]
  |  | SPACE | []
prostitutes | pobj | NOUN | []
. | punct | PUNCT | []",Theseus,goddess,was
Ashkelon (she),Syria,was worshipped in in,"the   greeks   recognized   her oriental nature , and herodotus states that her oldest shrine was at ashkelon .===in roman times she was worshipped in syria in the form of a fish as the syrian goddess .  ===older aspects of her cult survive in her var- ious   names .  ","In | prep | ADP | [times]
Roman | amod | ADJ | []
times | pobj | NOUN | [Roman]
she | nsubjpass | PRON | []
was | auxpass | VERB | []
worshipped | ROOT | VERB | [In, she, was, in, in, .]
in | prep | ADP | [Syria]
Syria | pobj | PROPN | []
in | prep | ADP | [form]
the | det | DET | []
form | pobj | NOUN | [the, of]
of | prep | ADP | [fish]
a | det | DET | []
fish | pobj | NOUN | [a, as]
as | prep | ADP | [Goddess]
the | det | DET | []
Syrian | compound | ADJ | []
Goddess | pobj | PROPN | [the, Syrian]
. | punct | PUNCT | [ ]
  |  | SPACE | []",she,Syria,worshipped
One   of   her children   by   Ares  ,Harmonia, was ,"this   story ,   and   how   hephaistos exposed   the   pair   to   the   ridicule   of   the   other gods , is told in a poem known as the “ lay of demodocos ”   that   was   incorporated   into   the eighth   book   of   homer ’s   odyssey .===one   of   her children   by   ares   was   harmonia .  ===aphrodite also   bore   sons   to   poseidon ,   bore   priapus   to dionysos ,   and   later   stories   say   that   she   bore hermaphroditos to hermes and eros to either hermes , ares , or zeus , as well as the deities known as phobos and deimos , their most like- ly father also being the god of war , ares .  ","One | nsubj | NUM | [ , of, by]
  |  | SPACE | []
of | prep | ADP | [ , children]
  |  | SPACE | []
her | poss | ADJ | []
children | pobj | NOUN | [her,  ]
  |  | SPACE | []
by | prep | ADP | [ , Ares]
  |  | SPACE | []
Ares | pobj | PROPN | [ ]
  |  | SPACE | []
was | ROOT | VERB | [One,  , Harmonia, .]
  |  | SPACE | []
Harmonia | attr | PROPN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",One,Harmonia,was
Apollo  ,the most popular of all Greek gods, was ,"apollo   greco - roman   one of the 12 great olympian deities whose worship was paramount in shaping the char- acter   of   greek   civilization .  ===apollo   was   the most popular of all greek gods and presided over many aspects of life .===he was the god of prophecy   and   divine   distance ,   of   beneficent power   and   righteous   punishment .  ","Apollo | nsubj | PROPN | [ ]
  |  | SPACE | []
was | ROOT | VERB | [Apollo,  , popular, and, presided, .]
  |  | SPACE | []
the | det | DET | []
most | advmod | ADV | []
popular | acomp | ADJ | [the, most, of]
of | prep | ADP | [gods]
all | det | DET | []
Greek | amod | ADJ | []
gods | pobj | NOUN | [all, Greek]
and | cc | CCONJ | []
presided | conj | VERB | [over]
over | prep | ADP | [aspects]
many | amod | ADJ | []
aspects | pobj | NOUN | [many, of]
of | prep | ADP | [life]
life | pobj | NOUN | []
. | punct | PUNCT | []",Apollo,popular,was
Apollo,the father of Troilus,may have been ,"both he and posedion sought the love of hestia , though she swore by zeus to always remain a virgin .  ===apollo may have been the father of troilus by  ===hecuba   and   also   loved   her   daughter   by priam , cassandra .","Apollo | nsubj | PROPN | []
may | aux | VERB | []
have | aux | VERB | []
been | ROOT | VERB | [Apollo, may, have, father, by]
the | det | DET | []
father | attr | NOUN | [the, of]
of | prep | ADP | [Troilus]
Troilus | pobj | PROPN | []
by | prep | ADP | [ ]
  |  | SPACE | []",Apollo,father,been
Niobe (she),"superior to Leto , who only had two", was ,"in conjunction with his sister , he killed the niobids , the children of niobe , in revenge for her having boasted that as she had seven sons and   seven   daughters   ( some   say   six   of   each )===she was superior to leto , who only had two .===apollo   killed   the   boys   ( some   say   he   killed only   five   of   the   six )   and   artemis   the   girls .","she | nsubj | PRON | []
was | ROOT | VERB | [she, superior, .]
superior | acomp | ADJ | [to]
to | prep | ADP | [Leto]
Leto | pobj | PROPN | [,, had]
, | punct | PUNCT | []
who | nsubj | NOUN | []
only | advmod | ADV | []
had | relcl | VERB | [who, only, two]
two | dobj | NUM | []
. | punct | PUNCT | []",she,superior,was
Laomedon (he),the god of roads, was ,"apollo also protected cattle and flocks , as his compulsory service to both admetus and laomedon indicated , an aspect that later writers particularly emphasized .===as apollo aguieus he was also the god of roads .===as the god of prophecy apollo could confer that gift to gods and mortals alike , and of all the   centers   of   his   worship ,   delphi   was   the most famous .","As | prep | ADP | [Aguieus]
Apollo | compound | PROPN | []
Aguieus | pobj | PROPN | [Apollo]
he | nsubj | PRON | []
was | ROOT | VERB | [As, he, also, god, .]
also | advmod | ADV | []
the | det | DET | []
god | attr | NOUN | [the, of]
of | prep | ADP | [roads]
roads | pobj | NOUN | []
. | punct | PUNCT | []",he,god,was
Apollo,"so delighted that he accepted it in exchange for the   oxen ,   after   which   he   became   the   firm friend of Hermes , restoring him in the eyes of Zeus", was ,"apollo denounced the thief to zeus when he discovered who it was , and   zeus   ordered   the   return   of   the   beasts .===however , when apollo heard the lyre he was so delighted that he accepted it in exchange for the   oxen ,   after   which   he   became   the   firm friend of hermes , restoring him in the eyes of zeus .===none surpassed him in music , not even pan or the satyr marsyas , who found the mag- ical , self - playing flute that athene had thrown away .  ","However | advmod | ADV | []
, | punct | PUNCT | []
when | advmod | ADV | []
Apollo | nsubj | PROPN | []
heard | advcl | VERB | [when, Apollo, lyre]
the | det | DET | []
lyre | dobj | NOUN | [the]
he | nsubj | PRON | []
was | ROOT | VERB | [However, ,, heard, he, delighted, .]
so | advmod | ADV | []
delighted | acomp | ADJ | [so, accepted, became]
that | mark | ADP | []
he | nsubj | PRON | []
accepted | ccomp | VERB | [that, he, it, in]
it | dobj | PRON | []
in | prep | ADP | [exchange]
exchange | pobj | NOUN | [for, ,, after]
for | prep | ADP | [oxen]
the | det | DET | [ ]
  |  | SPACE | []
oxen | pobj | NOUN | [the]
, | punct | PUNCT | [ ]
  |  | SPACE | []
after | prep | ADP | [ , which]
  |  | SPACE | []
which | pobj | ADJ | [ ]
