Subject,Predicate W/ Prepositions,Object Subtree,Sentence in Context,Object,Predicate,Parse Tree
Apollyon,is ,the Greek name,”===APOLLYON is the greek name .  ===in magic abaddon is often equated with satan and samael .,name,is,"Apollyon | nsubj | PROPN | []
that,is ,Ahriman,"at the end of that , ormazd would take over and reign in goodness and light .===the earth is presently under the rule of ahriman ; THAT is why there are drought , famine , war , disease , pestilence , and other ills .===to aid him in his rule , ahriman created 99,999 diseases , and six archdemons , called evil mind , tyranny , enmity , violence , wrath , and falsehood .",Ahriman,is,"The | det | DET | []
Earth | nsubj | PROPN | [The]
is | ccomp | VERB | [Earth, presently, under]
presently | advmod | ADV | []
under | prep | ADP | [rule]
the | det | DET | []
rule | pobj | NOUN | [the, of]
of | prep | ADP | [Ahriman]
Ahriman | pobj | PROPN | []
; | punct | PUNCT | []
that | nsubj | DET | []
is | ROOT | VERB | [is, ;, that, are, .]
why | advmod | ADV | []
there | expl | ADV | []
are | ccomp | VERB | [why, there, drought]
drought | attr | NOUN | [,, famine]
, | punct | PUNCT | []
famine | conj | NOUN | [,, war]
, | punct | PUNCT | []
war | conj | NOUN | [,, disease]
, | punct | PUNCT | []
disease | conj | NOUN | [,, pestilence]
, | punct | PUNCT | []
pestilence | conj | NOUN | [,, and, ills]
, | punct | PUNCT | []
and | cc | CCONJ | []
other | amod | ADJ | []
ills | conj | NOUN | [other]
. | punct | PUNCT | []"
Zohak,was ,so impressed with him that he offered to reward him,"ahriman , again in disguise , became chef of the palace .===ZOHAK was so impressed with him that he offered to reward him .===ahriman asked only to kiss his shoulders .",impressed,was,"Zohak | nsubj | PROPN | []
was | ROOT | VERB | [Zohak, impressed, .]
so | advmod | ADV | []
impressed | acomp | ADJ | [so, with, offered]
with | prep | ADP | [him]
him | pobj | PRON | []
that | mark | ADP | []
he | nsubj | PRON | []
offered | ccomp | VERB | [that, he, reward]
to | aux | PART | []
reward | xcomp | VERB | [to, him]
him | dobj | PRON | []
. | punct | PUNCT | []"
Aim,is ,a strong duke,"in hell===AIM is a strong duke .===he appears as a handsome man with three heads : a serpent , a man with   two stars on his forehead , and a cat .",duke,is,"Aim | nsubj | PROPN | []
is | ROOT | VERB | [Aim, duke, .]
a | det | DET | []
strong | amod | ADJ | []
duke | attr | NOUN | [a, strong]
. | punct | PUNCT | []"
He,appears as,"a handsome man with three heads : a SERPENT , a man with   two stars on his forehead , and a cat","aim is a strong duke .===HE appears as a handsome man with three HEads : a serpent , a man with   two stars on his foreHEad , and a cat .===he rides on a viper and carries a blazing ﬁrebrand , with which he spreads much destruction and ﬁre .",man,appears,"He | nsubj | PRON | []
appears | ROOT | VERB | [He, as, .]
as | prep | ADP | [man]
a | det | DET | []
handsome | amod | ADJ | []
man | pobj | NOUN | [a, handsome, with]
with | prep | ADP | [heads]
three | nummod | NUM | []
heads | pobj | NOUN | [three, :, SERPENT]
: | punct | PUNCT | []
a | det | DET | []
SERPENT | appos | PROPN | [a, ,, man, stars]
, | punct | PUNCT | []
a | det | DET | []
man | appos | NOUN | [a, with]
with | prep | ADP | [ ]
  |  | SPACE | []
two | nummod | NUM | []
stars | appos | NOUN | [two, on, ,, and, cat]
on | prep | ADP | [forehead]
his | poss | ADJ | []
forehead | pobj | NOUN | [his]
, | punct | PUNCT | []
and | cc | CCONJ | []
a | det | DET | []
cat | conj | NOUN | [a]
. | punct | PUNCT | []"
case,is ,one of the ﬁrst in France,"sensational case of possessed ursuline nuns , alleged immoral sex , and a pact with the devil , which led to the torture and execution of a priest .===the aix - en - provence CASE is one of the ﬁrst in france to produce a conviction based on the testimony of a demoniac .===prior to the 17th century in france , accusations from a demoniac were considered unreliable , since most clerics believed that any words spoken by one possessed by the devil were utterances from “ the father of lies ” ( john 8:44 ) and would not stand up to accepted rules of evidence .",one,is,"The | det | DET | []
Aix | compound | PROPN | []
- | punct | PUNCT | []
en | compound | PROPN | []
- | punct | PUNCT | []
Provence | compound | PROPN | [Aix, -, en, -]
case | nsubj | NOUN | [The, Provence]
is | ROOT | VERB | [case, one, produce, .]
one | attr | NUM | [of]
of | prep | ADP | [ﬁrst]
the | det | DET | []
ﬁrst | pobj | ADJ | [the, in]
in | prep | ADP | [France]
France | pobj | PROPN | []
to | aux | PART | []
produce | xcomp | VERB | [to, conviction]
a | det | DET | []
conviction | dobj | NOUN | [a, based]
based | acl | VERB | [on]
on | prep | ADP | [testimony]
the | det | DET | []
testimony | pobj | NOUN | [the, of]
of | prep | ADP | [DEMONIAC]
a | det | DET | []
DEMONIAC | pobj | PROPN | [a]
. | punct | PUNCT | []"
she,was ,"one of only six nuns , all of them from wealthy families","deeply religious from childhood , she was sent in 1605 , at age 12 , to the new ursuline convent in aix - en - provence .===there SHE was one of only six nuns , all of them from wealthy families .===their spiritual director was father jean - baptiste romillon .  ",one,was,"There | advmod | ADV | []
she | nsubj | PRON | []
was | ROOT | VERB | [There, she, one, .]
one | attr | NUM | [of]
of | prep | ADP | [nuns]
only | advmod | ADV | []
six | nummod | NUM | [only]
nuns | pobj | NOUN | [six, ,, all]
, | punct | PUNCT | []
all | appos | DET | [of, from]
of | prep | ADP | [them]
them | pobj | PRON | []
from | prep | ADP | [families]
wealthy | amod | ADJ | []
families | pobj | NOUN | [wealthy]
. | punct | PUNCT | []"
director,was ,Father Jean - Baptiste Romillon,"there she was one of only six nuns , all of them from wealthy families .===their spiritual DIRECTOR was father jean - baptiste romillon .  ===after about two years , madeleine became severely depressed and was sent home .",Romillon,was,"Their | poss | ADJ | []
spiritual | amod | ADJ | []
director | nsubj | NOUN | [Their, spiritual]
was | ROOT | VERB | [director, Romillon, .]
Father | compound | PROPN | []
Jean | compound | PROPN | []
- | punct | PUNCT | []
Baptiste | compound | PROPN | [Father, Jean, -]
Romillon | attr | PROPN | [Baptiste]
. | punct | PUNCT | [ ]
  |  | SPACE | []"
He,was ,personable and entertaining,"gaufridi had a much lower class background but was popular among the wealthy .===HE was personable and entertaining , and his good looks appealed to women .  ===thus it was no surprise that 14-year - old madeleine fell violently in love with him .",personable,was,"He | nsubj | PRON | []
was | ROOT | VERB | [He, personable, ,, and, appealed]
personable | acomp | ADJ | [and, entertaining]
and | cc | CCONJ | []
entertaining | conj | ADJ | []
, | punct | PUNCT | []
and | cc | CCONJ | []
his | poss | ADJ | []
good | amod | ADJ | []
looks | nsubj | NOUN | [his, good]
appealed | conj | VERB | [looks, to, .]
to | prep | ADP | [women]
women | pobj | NOUN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []"
it,was ,no surprise,"he was personable and entertaining , and his good looks appealed to women .  ===thus IT was no surprise that 14-year - old madeleine fell violently in love wITh him .===he visited often , and gossip ﬂew when he once spent an hour and a half with her without her family present .",surprise,was,"Thus | advmod | ADV | []
it | nsubj | PRON | []
was | ROOT | VERB | [Thus, it, surprise, fell, .]
no | det | DET | []
surprise | attr | NOUN | [no]
that | mark | ADP | []
14-year | amod | ADJ | []
- | punct | PUNCT | []
old | amod | ADJ | [14-year, -]
Madeleine | nsubj | PROPN | [old]
fell | ccomp | VERB | [that, Madeleine, violently, in]
violently | advmod | ADV | []
in | prep | ADP | [love]
love | pobj | NOUN | [with]
with | prep | ADP | [him]
him | pobj | PRON | []
. | punct | PUNCT | []"
nuns,were ,Easter 1610,"meanwhile , her possession infected three other nuns , who began having the same symptoms and lost their speech .  ===by easter 1610 , the NUNS were still afﬂ icted .===father romillon confronted gaufridi in june about his affair with madeleine , which the priest denied .",Easter,were,"By | prep | ADP | [Easter]
Easter | pobj | PROPN | [1610]
1610 | nummod | NUM | []
, | punct | PUNCT | []
the | det | DET | []
nuns | nsubj | NOUN | [the]
were | ROOT | VERB | [By, ,, nuns, still, icted, .]
still | advmod | ADV | []
afﬂ | advmod | ADV | []
icted | attr | VERB | [afﬂ]
. | punct | PUNCT | []"
He,was ,a most determined inquisitor,"exasperated , romillon took the two young women to see the grand inquisitor in avignon , sebastian michaelis , a man who had gotten on in years but was quite feared : he had sent 18 witches to their death at the stake in avignon .===HE was a most determined inquisitor .  ===michaelis’ approach was a public exorcism of the nuns at the shrine of st. mary magdalene in the grotto at stebaume .",inquisitor,was,"He | nsubj | PRON | []
was | ROOT | VERB | [He, inquisitor, .]
a | det | DET | []
most | advmod | ADV | []
determined | amod | VERB | [most]
inquisitor | attr | NOUN | [a, determined]
. | punct | PUNCT | [ ]
  |  | SPACE | []"
approach,was ,a public exorcism of the nuns at the shrine of St. Mary Magdalene in the grotto at SteBaume,he was a most determined inquisitor .  ===michaelis’ APPROACH was a public exorcism of the nuns at the shrine of st. mary magdalene in the grotto at stebaume .===it failed .  ,exorcism,was,"Michaelis’ | compound | NOUN | []
approach | nsubj | NOUN | [Michaelis’]
was | ROOT | VERB | [approach, exorcism, .]
a | det | DET | []
public | amod | ADJ | []
exorcism | attr | NOUN | [a, public, of, at]
of | prep | ADP | [nuns]
the | det | DET | []
nuns | pobj | NOUN | [the]
at | prep | ADP | [shrine]
the | det | DET | []
shrine | pobj | NOUN | [the, of, in]
of | prep | ADP | [Magdalene]
St. | compound | PROPN | []
Mary | compound | PROPN | []
Magdalene | pobj | PROPN | [St., Mary]
in | prep | ADP | [grotto]
the | det | DET | []
grotto | pobj | NOUN | [the, at]
at | prep | ADP | [SteBaume]
SteBaume | pobj | PROPN | []
. | punct | PUNCT | []"
Michaelis,was ,last,"after these manic episodes , she would fall into lethargy or a deathlike sleep .  ===MICHAELIS at last was able to pressure the parliament of aix to bring gaufridi to trial in civil court in february 1611 .===madeleine and louise were the star witnesses against the priest , recounting in graphic detail their possessions and going into ﬁts before the court .",last,was,"Michaelis | nsubj | PROPN | []
at | prep | ADP | [last]
last | pobj | ADJ | []
was | ROOT | VERB | [Michaelis, at, able, .]
able | acomp | ADJ | [pressure]
to | aux | PART | []
pressure | xcomp | VERB | [to, Parliament, bring]
the | det | DET | []
Parliament | dobj | PROPN | [the, of]
of | prep | ADP | [Aix]
Aix | pobj | PROPN | []
to | aux | PART | []
bring | xcomp | VERB | [to, Gaufridi, to, in]
Gaufridi | dobj | PROPN | []
to | prep | ADP | [trial]
trial | pobj | NOUN | [in]
in | prep | ADP | [court]
civil | amod | ADJ | []
court | pobj | NOUN | [civil]
in | prep | ADP | [February]
February | pobj | PROPN | [1611]
1611 | nummod | NUM | []
. | punct | PUNCT | []"
Madeleine,were ,the star witnesses against the priest,"michaelis at last was able to pressure the parliament of aix to bring gaufridi to trial in civil court in february 1611 .===MADELEINE and louise were the star witnesses against the priest , recounting in graphic detail their possessions and going into ﬁts before the court .===madeleine alternated this daily display with assertions that she was making everything up .",witnesses,were,"Madeleine | nsubj | PROPN | [and, Louise]
and | cc | CCONJ | []
Louise | conj | PROPN | []
were | ROOT | VERB | [Madeleine, witnesses, ,, recounting, .]
the | det | DET | []
star | compound | NOUN | []
witnesses | attr | NOUN | [the, star, against]
against | prep | ADP | [priest]
the | det | DET | []
priest | pobj | NOUN | [the]
, | punct | PUNCT | []
recounting | advcl | VERB | [in, possessions, and, going]
in | prep | ADP | [detail]
graphic | amod | ADJ | []
detail | pobj | NOUN | [graphic]
their | poss | ADJ | []
possessions | dobj | NOUN | [their]
and | cc | CCONJ | []
going | conj | VERB | [into]
into | prep | ADP | [ﬁts]
ﬁts | pobj | NOUN | [before]
before | prep | ADP | [court]
the | det | DET | []
court | pobj | NOUN | [the]
. | punct | PUNCT | []"
Michaelis,was at,ecstatic,"he described sabbats , though not as luridly as had madeleine .  ===MICHAELIS was ecstatic at gaufridi ’s breakdown and wrote a phony confession of 52 points .===gaufridi rejected it , saying he had been forced under torture to confess .",ecstatic,was,"Michaelis | nsubj | PROPN | []
was | ROOT | VERB | [Michaelis, ecstatic, at, and, wrote, .]
ecstatic | acomp | ADJ | []
at | prep | ADP | [breakdown]
Gaufridi | poss | PROPN | [’s]
’s | case | PART | []
breakdown | pobj | NOUN | [Gaufridi]
and | cc | CCONJ | []
wrote | conj | VERB | [confession]
a | det | DET | []
phony | amod | ADJ | []
confession | dobj | NOUN | [a, phony, of]
of | prep | ADP | [points]
52 | nummod | NUM | []
points | pobj | NOUN | [52]
. | punct | PUNCT | []"
It,was ,a signiﬁcant mercy,"fortunately for gaufridi , the bishop of marseilles had granted him a special dispensation , and he was strangled to death before his body was put on the burning bushes .===IT was a signiﬁcant mercy .  ===as soon as he was executed , madeleine was “ cured .",mercy,was,"It | nsubj | PRON | []
was | ROOT | VERB | [It, mercy, .]
a | det | DET | []
signiﬁcant | amod | ADJ | []
mercy | attr | NOUN | [a, signiﬁcant]
. | punct | PUNCT | [ ]
  |  | SPACE | []"
affair,was by,any means,"but the aix - en===- provence AFFAIR was not over by any means .===louise continued to have visions of witches , which led to a blind girl ’s being accused and convicted of witchcraft and burned at the stake on july 19 , 1611 .",means,was,"- | punct | PUNCT | []
Provence | compound | PROPN | [-]
affair | nsubj | NOUN | [Provence]
was | ROOT | VERB | [affair, not, over, by, .]
not | neg | ADV | []
over | advmod | ADV | []
by | prep | ADP | [means]
any | det | DET | []
means | pobj | NOUN | [any]
. | punct | PUNCT | []"
copy,was ,Madeleine ’s performance,"there , three nuns accused sister marie de sains of bewitching them .===most notable about sister marie ’s testimony , in many ways a COPY of madeleine ’s performance , was her detailed description of the witches’ sabbat :===on mondays and tuesdays , the witches copulated with devils and each other in a natural fashion ; they practiced sodomy on thursdays and bestiality on saturdays and sang litanies to the devil on wednesdays and fridays .",performance,was,"Most | advmod | ADV | []
notable | amod | ADJ | [Most, about, ,, in]
about | prep | ADP | [testimony]
Sister | compound | PROPN | []
Marie | poss | PROPN | [Sister, ’s]
’s | case | PART | []
testimony | pobj | NOUN | [Marie]
, | punct | PUNCT | []
in | prep | ADP | [ways]
many | amod | ADJ | []
ways | pobj | NOUN | [many]
a | det | DET | []
copy | nsubj | NOUN | [notable, a, of]
of | prep | ADP | [performance]
Madeleine | poss | PROPN | [’s]
’s | case | PART | []
performance | pobj | NOUN | [Madeleine]
, | punct | PUNCT | []
was | ROOT | VERB | [copy, ,, description, :]
her | poss | ADJ | []
detailed | amod | ADJ | []
description | attr | NOUN | [her, detailed, of]
of | prep | ADP | [sabbat]
the | det | DET | []
witches’ | amod | NOUN | []
sabbat | pobj | NOUN | [the, witches’]
: | punct | PUNCT | []"
court,was on,"April 28 ,","gaufridi became deranged , still denying intimacy with madeleine but confessing to more sensational crimes .===his last appearance before the COURT was on april 28 , at which he said the truth no longer mattered , and he had eaten roasted babies .  ===algul arabian vampire night djinn .",April,was,"His | poss | ADJ | []
last | amod | ADJ | []
appearance | nsubj | NOUN | [His, last, said]
before | mark | ADP | []
the | det | DET | []
court | nsubj | NOUN | [the]
was | ROOT | VERB | [appearance, before, court, on, ,, and, eaten]
on | prep | ADP | [April]
April | pobj | PROPN | [28, ,]
28 | nummod | NUM | []
, | punct | PUNCT | []
at | prep | ADP | [which]
