subject_tree,object_tree,predicate_tree,sentence,parse_tree,subject,object_,predicate
Acheron,"the name of a modern river in Acarnania ( Epirus ) , which occasion- ally runs underground", is also,"the banks of the river were said to be peopled by the shades of the dead .  ===acheron is also the name of a modern river in acarnania ( epirus ) , which occasion- ally runs underground .===near its mouth there was a famous oracle of the dead , at ephyra , where mortals could obtain advice from the gods of the underworld .","Acheron | nsubj | PROPN | []
Apollo itself,only about 2 kilometers, is only,"the apollo asteroids are so small and faint that they are difficult to locate , except when close to earth .===apollo itself is only about 2 kilometers across .  ===apollo asteroids can , from time to time , col- lide with earth .","Apollo | nsubj | PROPN | [itself]
itself | appos | PRON | []
is | ROOT | VERB | [Apollo, across, .]
only | advmod | ADV | []
about | quantmod | ADV | []
2 | nummod | NUM | [only, about]
kilometers | npadvmod | NOUN | [2]
across | advmod | ADP | [kilometers]
. | punct | PUNCT | [ ]
  |  | SPACE | []",Apollo,kilometers,is
satyr (he),the author of a work on mythology and one on etymology ; best known for his Chronicle of Greek history from the time of the fall of Troy, was ,"an athenian scholar ( fl . c. 140 b.c. )===, he was the author of a work on mythology and one on etymology ; best known for his chronicle of greek history from the time of the fall of troy .  ===apollonius of rhodes or apollonius   rhodius   greek   greek poet ( c. 220–180 b.c. ) born in alexandria ; longtime resident of rhodes",", | punct | PUNCT | []
he | nsubj | PRON | []
was | ROOT | VERB | [,, he, author, .]
the | det | DET | []
author | attr | NOUN | [the, of, ;, known]
of | prep | ADP | [work]
a | det | DET | []
work | pobj | NOUN | [a, on]
on | prep | ADP | [mythology]
mythology | pobj | NOUN | [and, one]
and | cc | CCONJ | []
one | conj | NUM | [on]
on | prep | ADP | [etymology]
etymology | pobj | NOUN | []
; | punct | PUNCT | []
best | advmod | ADV | []
known | acl | VERB | [best, for, from]
for | prep | ADP | [Chronicle]
his | poss | ADJ | []
Chronicle | pobj | PROPN | [his, of]
of | prep | ADP | [history]
Greek | amod | ADJ | []
history | pobj | NOUN | [Greek]
from | prep | ADP | [time]
the | det | DET | []
time | pobj | NOUN | [the, of]
of | prep | ADP | [fall]
the | det | DET | []
fall | pobj | NOUN | [the, of]
of | prep | ADP | [Troy]
Troy | pobj | PROPN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",he,author,was
Pan,an Arcadian deity, was originally,"the region also featured prominently in greek mythology .===pan was originally , and chiefly remained , an arcadian deity .===hermes was said to have been born in a cavern on mount cyllene in arcadia , and it was there that his worship flourished , often to be found in the company of pan and the muses .  ","Pan | nsubj | PROPN | []
was | ROOT | VERB | [Pan, originally, ,, and, remained, .]
originally | advmod | ADV | []
, | punct | PUNCT | []
and | cc | CCONJ | []
chiefly | advmod | ADV | []
remained | conj | VERB | [chiefly, ,, deity]
, | punct | PUNCT | []
an | det | DET | []
Arcadian | amod | ADJ | []
deity | attr | NOUN | [an, Arcadian]
. | punct | PUNCT | []",Pan,deity,was
nymphs (he),a divinity of Thracian origin, was originally,"ares greek   one of the 12 great olympian deities ; the god of war .===identified with the planet mars by the romans , he was originally a divinity of thracian origin .===from there his worship spread through macedonia to thebes , athens , and the cities of the peloponnesos , especially sparta .","Identified | advcl | VERB | [with, by]
with | prep | ADP | [Mars]
the | det | DET | []
planet | compound | NOUN | []
Mars | pobj | PROPN | [the, planet]
by | agent | ADP | [Romans]
the | det | DET | []
Romans | pobj | PROPN | [the]
, | punct | PUNCT | []
he | nsubj | PRON | []
was | ROOT | VERB | [Identified, ,, he, originally, divinity, .]
originally | advmod | ADV | []
a | det | DET | []
divinity | attr | NOUN | [a, of]
of | prep | ADP | [origin]
Thracian | amod | ADJ | []
origin | pobj | NOUN | [Thracian]
. | punct | PUNCT | []",he,divinity,was
nymphs (he),handsome, was also,"er of hebe and hephaistos , although hephaistos is sometimes regarded as the parthenogenous son of hera .===he was hated by the other gods , with the exception of eris , hades , and aphrodite , as he delighted in bat- tle simply for the sake of it ; vindictive and short - tempered , he was also handsome .===his love affair with aphrodite is particularly well known , as is the hilarious instance when the two lovers were trapped together in bed under a net that hephaistos , aphrodite ’s husband and his brother , had engineered .","He | nsubjpass | PRON | []
was | auxpass | VERB | []
hated | ccomp | VERB | [He, was, by, ,, with, ,, delighted, ;]
by | agent | ADP | [gods]
the | det | DET | []
other | amod | ADJ | []
gods | pobj | NOUN | [the, other]
, | punct | PUNCT | []
with | prep | ADP | [exception]
the | det | DET | []
exception | pobj | NOUN | [the, of]
of | prep | ADP | [Eris]
Eris | pobj | PROPN | [,, Hades]
, | punct | PUNCT | []
Hades | appos | PROPN | [,, and, Aphrodite]
, | punct | PUNCT | []
and | cc | CCONJ | []
Aphrodite | conj | PROPN | []
, | punct | PUNCT | []
as | mark | ADP | []
he | nsubj | PRON | []
delighted | advcl | VERB | [as, he, in, for]
in | prep | ADP | [tle]
bat- | amod | NOUN | []
tle | pobj | NOUN | [bat-]
simply | advmod | ADV | []
for | prep | ADP | [simply, sake]
the | det | DET | []
sake | pobj | NOUN | [the, of]
of | prep | ADP | [it]
it | pobj | PRON | []
; | punct | PUNCT | []
vindictive | advmod | ADJ | [and, tempered]
and | cc | CCONJ | []
short | advmod | ADV | []
- | punct | PUNCT | []
tempered | conj | ADJ | [short, -]
, | punct | PUNCT | []
he | nsubj | PRON | []
was | ROOT | VERB | [hated, vindictive, ,, he, also, handsome, .]
also | advmod | ADV | []
handsome | acomp | ADJ | []
. | punct | PUNCT | []",he,handsome,was
His love affair with Aphrodite,particularly well known, is particularly well,"he was hated by the other gods , with the exception of eris , hades , and aphrodite , as he delighted in bat- tle simply for the sake of it ; vindictive and short - tempered , he was also handsome .===his love affair with aphrodite is particularly well known , as is the hilarious instance when the two lovers were trapped together in bed under a net that hephaistos , aphrodite ’s husband and his brother , had engineered .===harmonia was one of their children along with phobos ( fear ) and deimos ( panic ) .","His | poss | ADJ | []
love | compound | NOUN | []
affair | nsubj | NOUN | [His, love, with]
with | prep | ADP | [Aphrodite]
Aphrodite | pobj | PROPN | []
is | ROOT | VERB | [affair, known, ,, is, .]
particularly | advmod | ADV | []
well | advmod | ADV | []
known | acomp | VERB | [particularly, well]
, | punct | PUNCT | []
as | mark | ADP | []
is | advcl | VERB | [as, instance, trapped]
the | det | DET | []
hilarious | amod | ADJ | []
instance | nsubj | NOUN | [the, hilarious]
when | advmod | ADV | []
the | det | DET | []
two | nummod | NUM | []
lovers | nsubjpass | NOUN | [the, two]
were | auxpass | VERB | []
trapped | advcl | VERB | [when, lovers, were, together, in, under]
together | advmod | ADV | []
in | prep | ADP | [bed]
bed | pobj | NOUN | []
under | prep | ADP | [net]
a | det | DET | []
net | pobj | NOUN | [a, engineered]
that | dobj | ADP | []
Hephaistos | nsubj | PROPN | [,, husband]
, | punct | PUNCT | []
Aphrodite | poss | PROPN | [’s]
’s | case | PART | []
husband | appos | NOUN | [Aphrodite, and, brother]
and | cc | CCONJ | []
his | poss | ADJ | []
brother | conj | NOUN | [his]
, | punct | PUNCT | []
had | aux | VERB | []
engineered | relcl | VERB | [that, Hephaistos, ,, had]
. | punct | PUNCT | []",affair,known,is
giants (he),successful in battle, was not always,"when ge sent typhon against olympus in revenge for the gods’ destruction of the giants , he fled to egypt in the guise of a boar with the other gods , who assumed other animal forms .===though the god of war he was not always successful in battle .===the aloeidae conquered him and left him imprisoned in a brazen ves- sel for 13 months until released by hermes .","Though | mark | ADP | []
the | det | DET | []
god | nsubj | NOUN | [the, of]
of | prep | ADP | [war]
war | pobj | NOUN | []
he | nsubj | PRON | []
was | ROOT | VERB | [Though, god, he, not, always, successful, .]
not | neg | ADV | []
always | advmod | ADV | []
successful | acomp | ADJ | [in]
in | prep | ADP | [battle]
battle | pobj | NOUN | []
. | punct | PUNCT | []",he,successful,was
giants (he),"usu- ally accompanied by his sister , Eris , and his sons , Phobos and Deimos", was ,"he was twice vanquished by athene and forced to return to olympus when heracles also defeat- ed him .===when he went into battle he was usu- ally accompanied by his sister , eris , and his sons , phobos and deimos .===sometimes he was also associated with two minor war deities , enyalios and enyo .  ","When | advmod | ADV | []
he | nsubj | PRON | []
went | advcl | VERB | [When, he, into]
into | prep | ADP | [battle]
battle | pobj | NOUN | []
he | nsubj | PRON | []
was | ROOT | VERB | [went, he, ally, .]
usu- | compound | DET | []
ally | attr | NOUN | [usu-, accompanied]
accompanied | acl | VERB | [by]
by | agent | ADP | [sister]
his | poss | ADJ | []
sister | pobj | NOUN | [his, ,, Eris, ,, and, sons]
, | punct | PUNCT | []
Eris | appos | PROPN | []
, | punct | PUNCT | []
and | cc | CCONJ | []
his | poss | ADJ | []
sons | conj | NOUN | [his, ,, Phobos]
, | punct | PUNCT | []
Phobos | appos | PROPN | [and, Deimos]
and | cc | CCONJ | []
Deimos | conj | PROPN | []
. | punct | PUNCT | []",he,ally,was
"The Stymphalian birds , killed by Heracles in his sixth labor",sacred to Ares, were also,"these teeth had come from the dragon that guarded the sacred spring of ares at thebes .===the stymphalian birds , killed by heracles in his sixth labor , were also sacred to ares .  ===according to later tradition he was once called upon to defend himself before the gods in a trial when he was accused of murdering halirrhothius , a son of poseidon .","The | det | DET | []
Stymphalian | amod | ADJ | []
birds | nsubj | NOUN | [The, Stymphalian, ,, killed]
, | punct | PUNCT | []
killed | acl | VERB | [by, in]
by | agent | ADP | [Heracles]
Heracles | pobj | PROPN | []
in | prep | ADP | [labor]
his | poss | ADJ | []
sixth | amod | ADJ | []
labor | pobj | NOUN | [his, sixth]
, | punct | PUNCT | []
were | ROOT | VERB | [birds, ,, also, sacred, .]
also | advmod | ADV | []
sacred | acomp | ADJ | [to]
to | prep | ADP | [Ares]
Ares | pobj | PROPN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",birds,sacred,were
Arethusa,supreme, was ,"greek  ===though arethusa is usually regarded as a rural deity , she was supreme in three great cities : ephesus , marseilles ( to which ionian greeks from asia minor took her cult between 600 and 500 b.c. ) , and syracuse ( where she was known as artemis arethusa ) .  ===her mythology says that she was a nereid , a water nymph , with whom the river god alpheus fell in love .","Though | mark | PROPN | []
Arethusa | nsubjpass | PROPN | []
is | auxpass | VERB | []
usually | advmod | ADV | []
regarded | advcl | VERB | [Though, Arethusa, is, usually, as]
as | prep | ADP | [deity]
a | det | DET | []
rural | amod | ADJ | []
deity | pobj | NOUN | [a, rural]
, | punct | PUNCT | []
she | nsubj | PRON | []
was | ROOT | VERB | [regarded, ,, she, supreme, in, :, Ephesus, .]
supreme | acomp | ADJ | []
in | prep | ADP | [cities]
three | nummod | NUM | []
great | amod | ADJ | []
cities | pobj | NOUN | [three, great]
: | punct | PUNCT | []
Ephesus | attr | PROPN | [,, Marseilles, (, took, ,, and, Syracuse]
, | punct | PUNCT | []
Marseilles | appos | PROPN | []
( | punct | PUNCT | []
to | prep | PART | [which]
which | pobj | ADJ | []
Ionian | amod | ADJ | []
Greeks | nsubj | PROPN | [Ionian, from]
from | prep | ADP | [Minor]
Asia | compound | PROPN | []
Minor | pobj | PROPN | [Asia]
took | relcl | VERB | [to, Greeks, cult]
her | poss | ADJ | []
cult | dobj | NOUN | [her, between]
between | prep | ADP | [B.C.]
600 | nummod | NUM | [and, 500]
and | cc | CCONJ | []
500 | conj | NUM | []
B.C. | pobj | PROPN | [600, )]
) | punct | PUNCT | []
, | punct | PUNCT | []
and | cc | CCONJ | []
Syracuse | conj | PROPN | [(, known, )]
( | punct | PUNCT | []
where | advmod | ADV | []
she | nsubjpass | PRON | []
was | auxpass | VERB | []
known | relcl | VERB | [where, she, was, as]
as | prep | ADP | [Arethusa]
Artemis | compound | PROPN | []
Arethusa | pobj | PROPN | [Artemis]
) | punct | PUNCT | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",Arethusa,supreme,was
Ariadne,“, appearing ,"ariadne   greek  ===in all probability ariadne was originally a cretan goddess , her name appearing to mean “ all - holy . ”===later she was adopted into greek mythology , where she appears as the daughter of minos , king of crete , and pasiphaë , thus being the sister of glaucus , androgeos , and phaedra .  ","In | prep | ADP | [probability]
all | det | DET | []
probability | pobj | NOUN | [all]
Ariadne | nsubj | PROPN | []
was | ccomp | VERB | [In, Ariadne, originally, goddess]
originally | advmod | ADV | []
a | det | DET | []
Cretan | amod | PROPN | []
goddess | attr | NOUN | [a, Cretan]
, | punct | PUNCT | []
her | poss | ADJ | []
name | nsubj | NOUN | [her]
appearing | ROOT | VERB | [was, ,, name, mean, ., ”]
to | aux | PART | []
mean | xcomp | VERB | [to, “, holy]
“ | dobj | ADV | []
all | advmod | ADV | []
- | punct | PUNCT | []
holy | ccomp | ADJ | [all, -]
. | punct | PUNCT | []
” | punct | PUNCT | []",Ariadne,“,appearing
nymph (he),able, was ,"she gave him a skein of thread and a sword .===by unwinding the thread behind him as he searched for the minotaur    46 aricia   within its labyrinth , he was able , after having killed the monster , to escape its confines .===together theseus and ariadne fled to the island of dia ( naxos ) , where they were mar- ried but where theseus later abandoned her when he returned to athens , later marrying her sister , phaedra , there .  ","By | prep | ADP | [unwinding]
unwinding | pcomp | VERB | [thread, behind, searched]
the | det | DET | []
thread | dobj | NOUN | [the]
behind | prep | ADP | [him]
him | pobj | PRON | []
as | mark | ADP | []
he | nsubj | PRON | []
searched | advcl | VERB | [as, he, for, within]
for | prep | ADP | [Aricia]
the | det | DET | []
Minotaur | nmod | PROPN | [  , 46]
   |  | SPACE | []
46 | nummod | NUM | []
Aricia | pobj | PROPN | [the, Minotaur,  ]
  |  | SPACE | []
within | prep | ADP | [labyrinth]
its | poss | ADJ | []
labyrinth | pobj | NOUN | [its]
, | punct | PUNCT | []
he | nsubj | PRON | []
was | ROOT | VERB | [By, ,, he, able, ,, after, ,, escape, .]
able | acomp | ADJ | []
, | punct | PUNCT | []
after | prep | ADP | [killed]
having | aux | VERB | []
killed | pcomp | VERB | [having, monster]
the | det | DET | []
monster | dobj | NOUN | [the]
, | punct | PUNCT | []
to | aux | PART | []
escape | xcomp | VERB | [to, confines]
its | poss | ADJ | []
confines | dobj | NOUN | [its]
. | punct | PUNCT | []",he,able,was
nymphs (she),a fatal snake bite, received ,"he traveled to thrace , where he fell in love with and pursued eurydice , the wife of orpheus .===in her flight from his lust she received a fatal snake bite and died .===as pun- ishment the nymphs destroyed his bees , and how he raised a new swarm is told in virgil ’s fourth georgics .","In | prep | ADP | [flight]
